,Community Area,Community Area Name,Year,Female 15-44,Incidence Rate Lower CI,Incidence Rate Upper CI
0,1,Rogers Park,2000,258.0,1336.4,1707.8
1,1,Rogers Park,2001,217.0,1125.7,1471.3
2,1,Rogers Park,2002,229.0,1210.1,1570.1
3,1,Rogers Park,2003,224.0,1198.9,1560.3
4,1,Rogers Park,2004,189.0,1012.9,1349.7
5,1,Rogers Park,2005,184.0,998.7,1336.1
6,1,Rogers Park,2006,196.0,1085.8,1439.4
7,1,Rogers Park,2007,212.0,1200.3,1573.7
8,1,Rogers Park,2008,210.0,1206.8,1584.2
9,1,Rogers Park,2009,192.0,1113.0,1479.8
10,1,Rogers Park,2010,211.0,1252.6,1643.4
11,1,Rogers Park,2011,222.0,1323.1,1723.9
12,1,Rogers Park,2012,218.0,1297.4,1694.6
13,1,Rogers Park,2013,203.0,1201.5,1584.7
14,1,Rogers Park,2014,234.0,1400.1,1811.5
15,2,West Ridge,2000,69.0,342.3,556.7
16,2,West Ridge,2001,66.0,327.1,538.0
17,2,West Ridge,2002,71.0,357.1,576.7
18,2,West Ridge,2003,67.0,336.1,550.8
19,2,West Ridge,2004,100.0,523.1,778.1
20,2,West Ridge,2005,95.0,502.7,759.5
21,2,West Ridge,2006,133.0,725.8,1023.0
22,2,West Ridge,2007,113.0,609.1,884.5
23,2,West Ridge,2008,123.0,672.7,961.5
24,2,West Ridge,2009,97.0,525.3,790.3
25,2,West Ridge,2010,98.0,534.1,801.8
26,2,West Ridge,2011,171.0,975.9,1320.1
27,2,West Ridge,2012,149.0,839.7,1160.9
28,2,West Ridge,2013,164.0,932.5,1269.5
29,2,West Ridge,2014,159.0,901.6,1233.4
30,3,Uptown,2000,169.0,916.9,1242.5
31,3,Uptown,2001,157.0,851.6,1167.4
32,3,Uptown,2002,133.0,714.5,1007.1
33,3,Uptown,2003,127.0,683.5,971.3
34,3,Uptown,2004,128.0,694.1,984.9
35,3,Uptown,2005,147.0,813.7,1127.5
36,3,Uptown,2006,128.0,703.4,998.2
37,3,Uptown,2007,136.0,757.1,1063.1
38,3,Uptown,2008,122.0,676.1,967.9
39,3,Uptown,2009,116.0,643.8,930.2
40,3,Uptown,2010,100.0,549.2,817.0
41,3,Uptown,2011,106.0,586.3,861.9
42,3,Uptown,2012,160.0,923.6,1262.4
43,3,Uptown,2013,135.0,766.6,1077.8
44,3,Uptown,2014,177.0,1031.0,1387.2
45,4,Lincoln Square,2000,51.0,321.1,567.1
46,4,Lincoln Square,2001,59.0,382.0,647.3
47,4,Lincoln Square,2002,45.0,280.8,515.2
48,4,Lincoln Square,2003,43.0,267.8,498.5
49,4,Lincoln Square,2004,52.0,336.2,590.4
50,4,Lincoln Square,2005,67.0,452.3,741.1
51,4,Lincoln Square,2006,41.0,257.8,487.4
52,4,Lincoln Square,2007,57.0,380.7,651.2
53,4,Lincoln Square,2008,55.0,367.6,635.1
54,4,Lincoln Square,2009,46.0,300.6,547.7
55,4,Lincoln Square,2010,62.0,426.9,713.8
56,4,Lincoln Square,2011,59.0,403.4,683.5
57,4,Lincoln Square,2012,64.0,442.7,734.0
58,4,Lincoln Square,2013,66.0,458.4,754.1
59,4,Lincoln Square,2014,72.0,505.9,814.3
60,5,North Center,2000,26.0,181.0,406.0
61,5,North Center,2001,35.0,259.9,518.9
62,5,North Center,2002,28.0,198.4,431.4
63,5,North Center,2003,30.0,215.8,456.7
64,5,North Center,2004,41.0,313.8,593.2
65,5,North Center,2005,32.0,233.5,482.0
66,5,North Center,2006,35.0,260.2,519.4
67,5,North Center,2007,29.0,207.3,444.5
68,5,North Center,2008,34.0,251.3,507.1
69,5,North Center,2009,32.0,233.7,482.2
70,5,North Center,2010,40.0,305.1,581.6
71,5,North Center,2011,42.0,323.2,606.2
72,5,North Center,2012,36.0,269.2,532.2
73,5,North Center,2013,36.0,269.2,532.2
74,5,North Center,2014,39.0,296.1,569.2
75,6,Lake View,2000,71.0,168.7,272.5
76,6,Lake View,2001,69.0,163.2,265.5
77,6,Lake View,2002,88.0,214.5,329.6
78,6,Lake View,2003,67.0,157.8,258.6
79,6,Lake View,2004,107.0,263.4,386.6
80,6,Lake View,2005,139.0,351.9,492.3
81,6,Lake View,2006,128.0,321.2,455.8
82,6,Lake View,2007,173.0,446.7,603.1
83,6,Lake View,2008,117.0,290.6,419.2
84,6,Lake View,2009,123.0,307.0,438.8
85,6,Lake View,2010,119.0,295.9,425.5
86,6,Lake View,2011,158.0,404.2,553.6
87,6,Lake View,2012,191.0,496.8,661.0
88,6,Lake View,2013,192.0,499.6,664.2
89,6,Lake View,2014,218.0,573.0,748.4
90,7,Lincoln Park,2000,56.0,189.0,324.9
91,7,Lincoln Park,2001,53.0,177.8,310.4
92,7,Lincoln Park,2002,65.0,225.1,371.8
93,7,Lincoln Park,2003,57.0,194.2,332.2
94,7,Lincoln Park,2004,83.0,298.0,463.8
95,7,Lincoln Park,2005,79.0,282.6,444.8
96,7,Lincoln Park,2006,79.0,283.2,445.8
97,7,Lincoln Park,2007,97.0,357.0,537.0
98,7,Lincoln Park,2008,96.0,353.6,533.2
99,7,Lincoln Park,2009,80.0,289.2,453.9
100,7,Lincoln Park,2010,88.0,322.5,495.4
101,7,Lincoln Park,2011,106.0,392.1,576.5
102,7,Lincoln Park,2012,126.0,475.2,676.2
103,7,Lincoln Park,2013,111.0,412.8,601.6
104,7,Lincoln Park,2014,150.0,575.6,795.0
105,8,Near North Side,2000,171.0,697.2,943.0
106,8,Near North Side,2001,214.0,874.9,1145.7
107,8,Near North Side,2002,207.0,831.2,1093.4
108,8,Near North Side,2003,227.0,904.2,1174.6
109,8,Near North Side,2004,239.0,941.4,1214.8
110,8,Near North Side,2005,208.0,798.9,1050.1
111,8,Near North Side,2006,174.0,649.0,875.6
112,8,Near North Side,2007,197.0,732.0,969.6
113,8,Near North Side,2008,180.0,654.4,878.4
114,8,Near North Side,2009,179.0,641.5,861.7
115,8,Near North Side,2010,201.0,717.4,947.6
116,8,Near North Side,2011,275.0,1004.4,1273.6
117,8,Near North Side,2012,244.0,883.8,1137.4
118,8,Near North Side,2013,215.0,771.5,1009.5
119,8,Near North Side,2014,204.0,729.0,960.8
120,9,Edison Park,2000,,,
121,9,Edison Park,2001,,,
122,9,Edison Park,2002,,,
123,9,Edison Park,2003,,,
124,9,Edison Park,2004,,,
125,9,Edison Park,2005,,,
126,9,Edison Park,2006,,,
127,9,Edison Park,2007,0.0,0.0,0.0
128,9,Edison Park,2008,5.0,75.6,543.5
129,9,Edison Park,2009,,,
130,9,Edison Park,2010,,,
131,9,Edison Park,2011,,,
132,9,Edison Park,2012,6.0,103.7,615.1
133,9,Edison Park,2013,5.0,76.5,549.6
134,9,Edison Park,2014,13.0,326.0,1047.1
135,10,Norwood Park,2000,12.0,89.3,301.8
136,10,Norwood Park,2001,10.0,69.6,266.8
137,10,Norwood Park,2002,21.0,190.2,469.6
138,10,Norwood Park,2003,11.0,80.9,290.0
139,10,Norwood Park,2004,15.0,124.8,367.6
140,10,Norwood Park,2005,15.0,125.8,370.6
141,10,Norwood Park,2006,21.0,196.2,484.6
142,10,Norwood Park,2007,27.0,270.9,598.0
143,10,Norwood Park,2008,15.0,128.8,379.7
144,10,Norwood Park,2009,20.0,189.1,478.0
145,10,Norwood Park,2010,12.0,96.7,327.0
